epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,11851.1,1.32099,0.77324,0.92276,0.81459,0.73192,0.79327,0.38171,1.76034,0.95182,1.09414,0.001882,0.001882,0.001882
84,11963.6,1.32628,0.77326,0.92285,0.81642,0.73381,0.79478,0.38169,1.75944,0.95237,1.09404,0.001783,0.001783,0.001783
85,16001.5,1.31437,0.76679,0.92084,0.81902,0.73861,0.79781,0.38242,1.75857,0.95068,1.09325,0.001684,0.001684,0.001684
86,16115.2,1.30831,0.76201,0.92224,0.82052,0.7366,0.79759,0.38215,1.75804,0.94929,1.09338,0.001585,0.001585,0.001585
87,16229.5,1.29508,0.74738,0.91866,0.82054,0.73742,0.79762,0.3826,1.75762,0.9481,1.09274,0.001486,0.001486,0.001486
88,16341,1.28299,0.74401,0.91715,0.81443,0.74165,0.79881,0.38246,1.75797,0.94723,1.09301,0.001387,0.001387,0.001387
89,16452.2,1.27468,0.74278,0.91277,0.81271,0.74322,0.79869,0.38313,1.75831,0.94669,1.0931,0.001288,0.001288,0.001288
90,16564.7,1.27422,0.73616,0.91099,0.81317,0.74352,0.79843,0.38349,1.75822,0.9463,1.09353,0.001189,0.001189,0.001189
91,16690.8,1.22209,0.66958,0.92048,0.81428,0.73978,0.79916,0.38354,1.75777,0.94422,1.09353,0.00109,0.00109,0.00109
92,16800.9,1.19914,0.65509,0.91478,0.81338,0.74518,0.80001,0.38383,1.758,0.94297,1.09391,0.000991,0.000991,0.000991
93,18544.7,1.17894,0.64431,0.91028,0.81189,0.74733,0.80019,0.38398,1.75758,0.94216,1.09381,0.000892,0.000892,0.000892
94,18658.6,1.16496,0.64007,0.90601,0.81128,0.74879,0.80111,0.38551,1.75816,0.94178,1.09396,0.000793,0.000793,0.000793
95,18772.2,1.1544,0.63288,0.90311,0.80944,0.75027,0.80004,0.38576,1.75805,0.94115,1.09437,0.000694,0.000694,0.000694
96,18884.7,1.14289,0.6228,0.903,0.80964,0.75049,0.79903,0.38556,1.75829,0.94011,1.09461,0.000595,0.000595,0.000595
97,18998.8,1.13491,0.62328,0.90061,0.81164,0.75091,0.79971,0.38596,1.75799,0.93857,1.09478,0.000496,0.000496,0.000496
98,19112.2,1.12626,0.61891,0.89632,0.81096,0.75051,0.79963,0.3853,1.75786,0.93842,1.09482,0.000397,0.000397,0.000397
99,19224.7,1.11705,0.61247,0.8955,0.81555,0.7511,0.80026,0.38591,1.75684,0.93856,1.09481,0.000298,0.000298,0.000298
100,19337.7,1.10642,0.60793,0.89238,0.81366,0.75171,0.79952,0.38553,1.75811,0.93804,1.09506,0.000199,0.000199,0.000199
